,id_line,label,lemma,base
0,Q000767.1,1,sux:dumu[child]N sux:edubbaʾa[scribal-school]N sux:ud[sun]N sux:ul[distant]V/i sux:ŋen[go]V/i sux:gana[come-on!]J sux:sa[equal]V/t,dumu e₂-dub-ba-a ud ul ŋa₂ ga-na sa₂-sa₂
1,Q000767.10,10,sux:lu₂.IM[criminal]N sux:u[cvne]N sux:hub[cvve]V/t sux:ŋeštug[ear]N sux:la[hang]V/t,lu₂-tumu u₂ hub₂ ŋeštug₂ la₂
2,Q000767.100,100,sux:ugu[skull]N sux:imhur[foam]N sux:sag[beat]V/t,ugu imhur₄ sag₃-sag₃
3,Q000767.101,101,sux:gu[neck]N sux:ki[place]N sux:ŋar[place]V/t,gu₂ ki ŋar
4,Q000767.102,102,sux:ni[self]RP sux:šu[hand]N sux:zu[know]V/t sux:kar[blow]V/t,ni₂ šu zu kar₂
5,Q000767.103,103,sux:niŋ[thing]N sux:gu[eat]V/t sux:šu[hand]N sux:paphala[restless]AJ sux:zig[rise]V/t,niŋ₂ gu₇ šu pap-hal-la zi-zi-i
6,Q000767.104,104,sux:emeš[summer]N sux:inim[word]N sux:ŋissu[shade]N sux:niŋin[encircle]V/t,e₂-me-eš inim ŋissu niŋin
7,Q000767.105,105,sux:ud[sun]N sux:sed[cold]V/i sux:inim[word]N sux:gaba[chest]N sux:ud[sun]N sux:niŋin[encircle]V/t,ud sed inim gaba ud niŋin
8,Q000767.106,106,sux:lu₂.IM[criminal]N sux:saŋ[head]N sux:gu[neck]N sux:ne[brazier]N sux:nud[lie]V/i,lu₂-tumu saŋ gu₂ ne nu₂-nu₂
9,Q000767.107,107,sux:bala[turn]V/t sux:ašuŋiri[limbs]N sux:kud[cut]V/t sux:kuš[skin]N sux:sil[split]V/t,bala-bala a₂-šu-ŋiri₃ kud kuš sil₂-sil₂
10,Q000767.108,108,sux:e[house]N sux:burud[perforate]V/t sux:dun[dig]V/t sux:dug[speak]V/t,e₂ bur₃-bur₃ dun dug₄-dug₄
11,Q000767.109,109,sux:anaš[why?]QP sux:gabal[fight]N sux:du[build]V/t,a-na-aš ga-ba-al du₃-du₃
12,Q000767.11,11,sux:ŋeš[penis]N sux:gudu[buttocks]N sux:kešed[bind]V/t sux:šir[testicle]N sux:dili[single]V/i sux:tulu[slacken]V/t,ŋeš₃ gu-du keš₂ šir dili tu-lu
13,Q000767.110,110,sux:in[abuse]N sux:dub[tremble]V/t sux:su[flesh]N sux:ŋal[be]V/i,in dub₂ su ŋal₂
14,Q000767.111,111,sux:ŋen[go]V/i sux:esir[street]N sux:e[leave]V/i,ŋa₂ e-sir₂ e₃
15,Q000767.112,112,sux:lu[person]N sux:zu[know]V/t sux:igi[eye]N sux:duh[loosen]V/t,lu₂ zu igi du₈
16,Q000767.113,113,sux:naŋah[fool]N sux:me[be]V/i sux:egir[back]N sux:inim[word]N sux:zu[know]V/t,na-ŋa₂-ah me egir inim zu
17,Q000767.114,114,sux:lu[person]N sux:sikildua[insulting]AJ sux:me[be]V/i sux:niŋnam[anything]N sux:zu[know]V/t,lu₂ sikil-du₃-a me niŋ₂-nam zu
18,Q000767.115,115,sux:ishab[rogue]N sux:di[speak]V/t sux:taka[abandon]V/t sux:me[be]V/i,is-hab di taka₄-taka₄ me
19,Q000767.116,116,sux:lu[person]N sux:saŋ[head]N sux:gi[turn]V/i sux:inim[word]N sux:dab[seize]V/t,lu₂ saŋ gi₄ inim dab₅
20,Q000767.117,117,sux:lu[person]N sux:gu[voice]N sux:rah[beat]V/t sux:šag[heart]N sux:didal[ashes]N sux:nud[lie]V/i,lu₂ gu₃ ra-ah šag₄ de₃ nu₂-nu₂
21,Q000767.118,118,sux:lu[person]N sux:šaŋar[starvation]N sux:ninda[bread]N sux:kar[flee]V/t,lu₂ ša₃-ŋar ninda kar-kar
22,Q000767.119,119,sux:lu[person]N sux:dab[seize]V/t sux:bisaŋ[basket]N sux:e[house]N sux:diŋir[deity]N saŋ-bur₂-bi[NA]NA sux:kal[rare]V/i,lu₂ dab₅ {gi}bisaŋ e₂ diŋir saŋ-bur₂-bi kal
23,Q000767.12,12,sux:meze[jaw]N sux:gid[long]V/i sux:nundum[lip]N sux:gur[thick]V/i sux:ib[hips]N sux:kud[cut]V/t sux:gudu[buttocks]N ku-da[NA]NA,me-ze₂ gid₂ nundum gur₁₄ ib₂ kud gu-du ku-da
24,Q000767.120,120,sux:zeza[croaker]N sux:gu[voice]N sux:de[pour]V/t sux:daggi[quarter]N sux:lu[mix]V/t,ze₂-za gu₃ de₂-de₂ dag-gi lu₃-lu₃
25,Q000767.121,121,sux:lu[person]N sux:pel[defile]V/t sux:teš[vigor]N sux:tuku[acquire]V/t sux:zu[know]V/t,lu₂ pe-el teš₂ tuku-tuku zu
26,Q000767.122,122,sux:lu[person]N sux:kar[insult]V/t niŋ₂-ur₂-ra[NA]NA sux:gu[eat]V/t,lu₂ kara₂-g·a niŋ₂-ur₂-ra gu₇-gu₇
27,Q000767.123,123,sux:lu[person]N sux:saŋ.DU[smitten-person]N sux:dumu[child]N sux:lu[person]N sux:zu[know]V/t,lu₂ saŋ-DU dumu lu₂ zu
28,Q000767.124,124,sux:kimanzer[locus]N sux:lu[person]N sux:kal[rare]V/i sux:zu[know]V/t,ki-ma-an-ze₂-er lu₂ kal zu
29,Q000767.125,125,sux:ursaŋ[hero]N sux:gub[stand]V/i sux:šu[hand]N sux:la[hang]V/t,ur-saŋ gub šu la₂
30,Q000767.126,126,sux:gub[stand]V/i sux:gin[firm]V/i sux:tuš[sit]V/i sux:sag[good]V/i,gub ge-en tuš sag₉
31,Q000767.127,127,sux:šid[count]V/t sux:ul[hasten]V/i sux:sar[write]V/t sux:šu[hand]N sux:ur[drag]V/t,šid ul₄ sar šu ur₃
32,Q000767.128,128,sux:niŋ[thing]N sux:sar[write]V/t sux:gu[voice]N sux:de[pour]V/t,niŋ₂ sar gu₃ de₂
33,Q000767.129,129,sux:dugud[heavy]V/i sux:sar[write]V/t sux:šu[hand]N sux:zuhul[pierce]V/t,dugud sar šu zu-hu-ul
34,Q000767.13,13,sux:ŋaʾe[I]IP sux:dim[create]V/t,ŋa₂-e dim₂
35,Q000767.130,130,sux:šid[count]V/t sux:du[suitable]V/i sux:sar[write]V/t sux:mete[appropriate-thing]N sux:nu[not]V/i,šid du₇ sar me-te nu
36,Q000767.131,131,sux:dub[tablet]N sux:tur[small]V/i sux:ul[hasten]V/i sux:til[complete]V/i,dub tur ul₄ til
37,Q000767.132,132,sux:kigub[station]N sux:ugu[cvne]N sux:de[pour]V/t,ki-gub-ba u₂-gu de₂
38,Q000767.133,133,sux:kituš[dwelling]N sux:bir[scatter]V/t,ki-tuš bir-bir
39,Q000767.134,134,sux:dimma[thought]N sux:šub[fall]V/t sux:gu[voice]N ab-ta-giri₁₁-da[NA]NA,dim₂-ma šub gu₃ ab-ta-giri₁₁-da
40,Q000767.135,135,sux:aba[who?]QP sux:gu[voice]N sux:de[pour]V/t,a-ba gu₃ de₂
41,Q000767.136,136,sux:ana[what?]QP sux:ŋal[be]V/i sux:dud[combat]N sux:e[leave]V/i,a-na ŋal₂ du₁₄ e₃
42,Q000767.137,137,sux:gub[stand]V/i sux:lu₂.IM[criminal]N sux:gabal[fight]N sux:du[build]V/t sux:du[build]V/t,gub lu₂-tumu ga-ba-al du₃ du₃
43,Q000767.14,14,sux:lu₂.IM[criminal]N sux:umun[insect]N sux:gada[flax]N sux:la[hang]V/t,lu₂-tumu uman gada la₂
44,Q000767.15,15,sux:nimsahara[fly]N sux:kid[mat]N sux:ašrinna[object]N sux:sag[beat]V/t,nim-sahar-ra kid aš-rin-na si
45,Q000767.16,16,sux:šah[pig]N sux:uttukku[abacus]N sux:tuku[beat]V/t,šah₂ {tug₂}u₂-tu-gu-um tuku₅-tuku₅
46,Q000767.17,17,sux:amsi[elephant]N sux:munu[malt]N sux:sissig[green]V/i sux:barag[spread]V/t,am-si munu₄ sig₇-sig₇ barag₂
47,Q000767.18,18,sux:kaʾa[fox]N sux:utul[tureen]N sux:bar[outside]V/t,ka₅-a {dug}utul₂ bar
48,Q000767.19,19,sux:lulim[stag]N sux:aguhum[clothing]N sux:sig[tie]V/t,lulim a₂-gu-hu-um sig
49,Q000767.2,2,sux:tukum[if]CNJ sux:namdubsar[the-scribal-arts]N sux:zu[know]V/t sux:ana[what?]QP sux:šid[count]V/t,tukum nam-dub-sar-ra zu a-na šid
50,Q000767.20,20,sux:urbara[wolf]N sux:siki[hair]N sux:peš[thick]V/i,ur-bar-ra siki peš₆
51,Q000767.21,21,sux:ninka[mongoose]N x[NA]NA x[NA]NA x[NA]NA x[NA]NA x-ta-si-si[NA]NA,{d}nin-ka₆ x x x x x-ta-si-si
52,Q000767.22,22,sux:zahda[piglet]N x[NA]NA x[NA]NA x[NA]NA,zehₓ(ŠAH){+ze₂-eh}-tur x x x
53,Q000767.23,23,x[NA]NA x-re[NA]NA,x x-re
54,Q000767.24,24,x-gi-a[NA]NA sux:šurum[litter]N sux:kag[mouth]N sux:gu[eat]V/t,x-gi-a šurim ka gu₇
55,Q000767.25,25,sux:lu₂.IM[criminal]N sux:i[oil]N sux:dug[pot]N sux:hulu[bad]V/i,lu₂-tumu i₃ dug hul
56,Q000767.26,26,sux:kuš[skin]N sux:niŋŋala[possessions]N sux:e[house]N sux:niŋgur[property]N sux:hulu[bad]V/i,kuš niŋ₂-ŋal₂ e₂ niŋ₂-gur₁₁ hul
57,Q000767.27,27,sux:ašag[field]N sux:tur[small]V/i sux:e[house]N sux:ŋen[go]V/i,a-šag₄ tur e₂ ŋen
58,Q000767.28,28,sux:tug[textile]N sux:til[complete]V/i sux:tug[textile]N sux:siki[hair]N sux:du[spread]V/t,tug₂ til tug₂ siki du₈
59,Q000767.29,29,sux:i[oil]N sux:silim[vessel]N sux:til[complete]V/i sux:er[tears]N sux:šeš[weep]V/t,i₃ {dug}silim₂ til er₂ šeš₄
