,designation,period,provenience,museum_no,accession_no,excavation_no
P001229,VAT 15259,Uruk IV,Uruk,VAT 15259,,"W 9393,d"
P001230,VAT 15171,Uruk IV,Uruk,VAT 15171,,"W 9393,e"
P003118,"HD: W 19408,76+",Uruk III,Uruk,"HD: W 19408,76+",,"W 19408,76"
P003410,IM 065109,Uruk III,Uruk,IM 065109,,"W 20044,09"
P003412,"HD: W 20044,11",Uruk III,Uruk,"HD: W 20044,11",,"W 20044,11"
P003421,"HD: W 20044,20",Uruk III,Uruk,"HD: W 20044,20",,"W 20044,20"
P003428,IM 133954,Uruk III,Uruk,IM 133954,,"W 20044,27"
P003429,IM 065113,Uruk III,Uruk,IM 065113,,"W 20044,28"
P003430,IM 133955,Uruk III,Uruk,IM 133955,,"W 20044,29"
P003434,"HD: W 20044,33",Uruk III,Uruk,"HD: W 20044,33",,"W 20044,33"
P003436,IM 065116,Uruk III,Uruk,IM 065116,,"W 20044,35"
P003848,"W 20517,1",Uruk III,Uruk,"W 20517,1",,"W 20517,1"
P005313,Berlin 005,Uruk III,Uruk,Berlin 005,,
P005468,IM 023426,Uruk III,Larsa,IM 023426,,
P010678,VAT 12593,ED IIIa,Fara,VAT 12593,,
P010721,TSS 0050,ED IIIa,Fara,,,
P010722,TSS 0051,ED IIIa,Fara,,,
P010733,TSS 0077,Old Babylonian,Kisurra,,,
P010737,TSS 0081,ED IIIa,Fara,,,
P010773,TSS 0188,ED IIIa,Fara,,,
P010774,TSS 0190,ED IIIa,Fara,,,
P010787,TSS 0251,ED IIIa,Fara,,,
P010872,TSS 0632,ED IIIa,Fara,,,
P010882,TSS 0671,ED IIIa,Fara,,,
P010940,TSS 0926,ED IIIa,Fara,,,
P010944,TSS 0930,ED IIIa,Fara,,,
P020479,HS 0815,Old Akkadian,Nippur,HS 0815,,
P128042,YBC 09819,Ur III,Umma,YBC 09819,,
P128566,AO T 304,Ur III,Girsu,AO T 304,,
P129726,Walker 47a,Ur III,unknown,Walker 47a,,
P142060,YBC 03892,Old Babylonian,unknown,YBC 03892,,
P212456,"TA 1933, 2",Old Akkadian,Tell Asmar (Eshnunna),,,"TA 1933, 2"
P212534,NBC 07017,Old Akkadian,Girsu,NBC 07017,,
P212605,NBC 06893,Old Akkadian,unknown,NBC 06893,,
P213160,PUL 0026,Old Akkadian,Girsu region,PUL 0026,,
P213161,PUL 0027,Old Akkadian,Girsu region,PUL 0027,,
P213162,PUL 0028,Old Akkadian,Girsu region,PUL 0028,,
P213163,PUL 0029,Old Akkadian,Girsu region,PUL 0029,,
P213165,PUL 0031,Old Akkadian,Girsu region,PUL 0031,,
P214319,Ist L 04505,Old Akkadian,Girsu,Ist L 04505,,
P214402,Ist L 04598,Old Akkadian,Girsu,Ist L 04598,,
P214722,Ist T 07375,Ur III,Girsu,Ist T 07375,,
P215323,AO 11404,Old Akkadian,Girsu,AO 11404,,
P215324,AO 11405,Old Akkadian,Girsu,AO 11405,,
P215326,AO 11409,Old Akkadian,Girsu,AO 11409,,
P215434,Ash 1924.0689,Old Akkadian,Girsu,Ash 1924.0689,,
P215972,A 00786,Old Akkadian,Adab,A 00786,,
P216852,IM 058045,Old Akkadian,Nippur,IM 058045,,2N-T 600
P217125,Ist L 02924,Old Akkadian,Girsu,Ist L 02924,,
P217673,A 05443,Old Akkadian,Girsu,A 05443,,
P217674,A 05446,Old Akkadian,Girsu,A 05446,,
P218053,CMAA 016-C0005,Old Akkadian,unknown,CMAA 016-C0005,,
P222256,A 00681,ED IIIb,Adab,A 00681,,
P224241,IM 077122,Neo-Babylonian,Nippur,IM 077122,,12N-145
P224252,IM 077133,Neo-Babylonian,Nippur,IM 077133,,12N-156
P224928,IM 049949,Old Babylonian,Sippar Amnanum,IM 049949,,
P227636,CBS 10207 +,Old Babylonian,Nippur,CBS 10207 +,,
P228954,IM 058658,Old Babylonian,Nippur,IM 058658,,3N-T 729
P228955,N 3977,Old Babylonian,Nippur,N 3977,,
P228956,CBS 13852 +,Old Babylonian,Nippur,CBS 13852 +,,
P229076,CBS 14159,Old Babylonian,Nippur,CBS 14159,,
P229119,CBS 19933,Old Babylonian,Nippur,CBS 19933,,
P229303,N 5084,Old Babylonian,Nippur,N 5084,,
P229306,CBS 14158 +,Old Babylonian,Nippur,CBS 14158 +,,
P229314,A 29979,Old Babylonian,Nippur,A 29979,,2N-T 384
P229456,HS 0239,Old Babylonian,Nippur,HS 0239,,
P229548,CBS 10502,Old Babylonian,Nippur,CBS 10502,,
P229549,N 5264,Old Babylonian,Nippur,N 5264,,
P229605,CBS 06482,Old Babylonian,Nippur,CBS 06482,,
P229616,N 3848,Old Babylonian,Nippur,N 3848,,
P229693,A 30211,Old Babylonian,Nippur,A 30211,,3N-T 316
P229697,Ni 10024,Old Babylonian,Nippur,Ni 10024,,
P229698,CBS 03937,Old Babylonian,Nippur,CBS 03937,,
P229703,N 4959,Old Babylonian,Nippur,N 4959,,
P229707,CBS 11080 +,Old Babylonian,Nippur,CBS 11080 +,,
P229708,CBS 06841,Old Babylonian,Nippur,CBS 06841,,
P229709,CBS 10972,Old Babylonian,Nippur,CBS 10972,,
P229710,N 6025,Old Babylonian,Nippur,N 6025,,
P229712,IM 058519,Old Babylonian,Nippur,IM 058519,,3N-T 494
P229713,A 29985,Old Babylonian,Nippur,A 29985,,2N-T 500
P229716,A 29980,Old Babylonian,Nippur,A 29980,,2N-T 385
P229718,CBS 06832,Old Babylonian,Nippur,CBS 06832,,
P229724,CBS 12708,Old Babylonian,Nippur,CBS 12708,,
P229728,CBS 04805a,Old Babylonian,Nippur,CBS 04805a,,
P229730,N 4919,Old Babylonian,Nippur,N 4919,,
P229738,CBS 03882 +,Old Babylonian,Nippur,CBS 03882 +,,
P229740,CBS 08067,Old Babylonian,Nippur,CBS 08067,,
P229756,HS 0236,,unclear,HS 0236,,
P229757,HS 0238 + HS 1667,,unclear,HS 0238 + HS 1667,,
P229758,HS 0247,,unclear,HS 0247,,
P229759,HS 0252,,unclear,HS 0252,,
P229760,HS 0263,,unclear,HS 0263,,
P229761,HS 0264,,unclear,HS 0264,,
P229762,HS 0271b,,unclear,HS 0271b,,
P229765,HS 0260,,unclear,HS 0260,,
P229781,HS 1645,,unclear,HS 1645,,
P229902,HS 1703,,unclear,HS 1703,,
P229912,HS 1718,,unclear,HS 1718,,
P229919,HS 1729,,unclear,HS 1729,,
P229926,HS 1740,,unclear,HS 1740,,
P229957,HS 1790,,unclear,HS 1790,,
P229987,HS 1836,,unclear,HS 1836,,
P229995,HS 1848,,unclear,HS 1848,,
P229998,HS 1852,,unclear,HS 1852,,
P230007,CBS 06063,Old Babylonian,Nippur,CBS 06063,,
P230009,CBS 08537,Old Babylonian,Nippur,CBS 08537,,
P230010,Ni 01143,Old Babylonian,Nippur,Ni 01143,,
P230011,Ni 00927,Old Babylonian,Nippur,Ni 00927,,
P230013,Ni 01871,Old Babylonian,Nippur,Ni 01871,,
