source,target,type
Irkala,Kanisurru,undirected
Irkala,sîn,undirected
Irkala,kišša,undirected
Irkala,Damu,undirected
Irkala,Sugal,undirected
Irkala,Usab,undirected
Irkala,Eridu,undirected
Irkala,larsam,undirected
Irkala,sippara,undirected
Irkala,Sirara,undirected
Irkala,Hiš,undirected
Irkala,Haš,undirected
Irkala,maṣit,undirected
Irkala,Idiglat,undirected
Irkala,purattum,undirected
Irkala,Nisaba,undirected
Irkala,Muru,undirected
Irkala,Ennigi,undirected
Irkala,Karkara,undirected
Irkala,Nippur,undirected
Irkala,Ur,undirected
Irkala,Uruk,undirected
Irkala,Kullaba,undirected
Irkala,Udnim,undirected
Irkala,kusiga,undirected
Irkala,Kisig,undirected
Irkala,Aratta,undirected
Irkala,šubartum,undirected
Irkala,Enlil,undirected
Irkala,Šamaš,undirected
Irkala,Alla,undirected
Irkala,Dunga,undirected
Irkala,Lumha,undirected
Irkala,Geškad,undirected
Irkala,Ninura,undirected
Irkala,Išum,undirected
Irkala,Mušdama,undirected
Irkala,Qudma,undirected
Irkala,Qudmaš,undirected
Irkala,Kuksi,undirected
Irkala,Dapan,undirected
Irkala,Gugalita,undirected
Irkala,Quqqim,undirected
Irkala,Qaqqim,undirected
Irkala,Nita,undirected
Irkala,Alamuš,undirected
Irkala,Alba,undirected
Irkala,Alha,undirected
Irkala,Baliha,undirected
Irkala,Namma,undirected
Irkala,Našše,undirected
Irkala,Ušmu,undirected
Irkala,Imšattu,undirected
Irkala,Nissaba,undirected
Irkala,Nanibgal,undirected
Irkala,Hayyum,undirected
Irkala,antum,undirected
Irkala,Lahar,undirected
Irkala,Šamkan,undirected
Irkala,Ea,undirected
Irkala,Marutuk,undirected
Irkala,Ninlil,undirected
Irkala,Ninurta,undirected
Irkala,Ilaba,undirected
Irkala,Giri,undirected
Irkala,Gira,undirected
Irkala,Ababa,undirected
Irkala,Zababa,undirected
Irkala,Ningublaga,undirected
Irkala,Lisi,undirected
Irkala,Sirsire,undirected
Irkala,Marutu,undirected
Irkala,Illa,undirected
Irkala,Lamaštum,undirected
Irkala,Halmu,undirected
Irkala,Hallamu,undirected
Irkala,Id,undirected
Irkala,Ninzazna,undirected
Irkala,Kabta,undirected
Irkala,Šalaš,undirected
Irkala,Ninti,undirected
Kanisurru,sîn,undirected
Kanisurru,kišša,undirected
Kanisurru,Damu,undirected
Kanisurru,Sugal,undirected
Kanisurru,Usab,undirected
Kanisurru,Eridu,undirected
Kanisurru,larsam,undirected
Kanisurru,sippara,undirected
Kanisurru,Sirara,undirected
Kanisurru,Hiš,undirected
Kanisurru,Haš,undirected
Kanisurru,maṣit,undirected
Kanisurru,Idiglat,undirected
Kanisurru,purattum,undirected
Kanisurru,Nisaba,undirected
Kanisurru,Muru,undirected
Kanisurru,Ennigi,undirected
Kanisurru,Karkara,undirected
Kanisurru,Nippur,undirected
Kanisurru,Ur,undirected
Kanisurru,Uruk,undirected
Kanisurru,Kullaba,undirected
Kanisurru,Udnim,undirected
Kanisurru,kusiga,undirected
Kanisurru,Kisig,undirected
Kanisurru,Aratta,undirected
Kanisurru,šubartum,undirected
Kanisurru,Enlil,undirected
Kanisurru,Šamaš,undirected
Kanisurru,Alla,undirected
Kanisurru,Dunga,undirected
Kanisurru,Lumha,undirected
Kanisurru,Geškad,undirected
Kanisurru,Ninura,undirected
Kanisurru,Išum,undirected
Kanisurru,Mušdama,undirected
Kanisurru,Qudma,undirected
Kanisurru,Qudmaš,undirected
Kanisurru,Kuksi,undirected
Kanisurru,Dapan,undirected
Kanisurru,Gugalita,undirected
Kanisurru,Quqqim,undirected
Kanisurru,Qaqqim,undirected
Kanisurru,Nita,undirected
Kanisurru,Alamuš,undirected
Kanisurru,Alba,undirected
Kanisurru,Alha,undirected
Kanisurru,Baliha,undirected
Kanisurru,Namma,undirected
Kanisurru,Našše,undirected
Kanisurru,Ušmu,undirected
Kanisurru,Imšattu,undirected
Kanisurru,Nissaba,undirected
Kanisurru,Nanibgal,undirected
Kanisurru,Hayyum,undirected
Kanisurru,antum,undirected
Kanisurru,Lahar,undirected
Kanisurru,Šamkan,undirected
Kanisurru,Ea,undirected
Kanisurru,Marutuk,undirected
Kanisurru,Ninlil,undirected
Kanisurru,Ninurta,undirected
Kanisurru,Ilaba,undirected
Kanisurru,Giri,undirected
Kanisurru,Gira,undirected
Kanisurru,Ababa,undirected
Kanisurru,Zababa,undirected
Kanisurru,Ningublaga,undirected
Kanisurru,Lisi,undirected
Kanisurru,Sirsire,undirected
Kanisurru,Marutu,undirected
Kanisurru,Illa,undirected
Kanisurru,Lamaštum,undirected
Kanisurru,Halmu,undirected
Kanisurru,Hallamu,undirected
Kanisurru,Id,undirected
Kanisurru,Ninzazna,undirected
Kanisurru,Kabta,undirected
Kanisurru,Šalaš,undirected
Kanisurru,Ninti,undirected
sîn,kišša,undirected
sîn,Damu,undirected
sîn,Sugal,undirected
sîn,Usab,undirected
sîn,Eridu,undirected
sîn,larsam,undirected
sîn,sippara,undirected
sîn,Sirara,undirected
sîn,Hiš,undirected
sîn,Haš,undirected
sîn,maṣit,undirected
sîn,Idiglat,undirected
sîn,purattum,undirected
sîn,Nisaba,undirected
sîn,Muru,undirected
sîn,Ennigi,undirected
sîn,Karkara,undirected
sîn,Nippur,undirected
sîn,Ur,undirected
sîn,Uruk,undirected
sîn,Kullaba,undirected
sîn,Udnim,undirected
sîn,kusiga,undirected
sîn,Kisig,undirected
sîn,Aratta,undirected
sîn,šubartum,undirected
sîn,Enlil,undirected
sîn,Šamaš,undirected
sîn,Alla,undirected
sîn,Dunga,undirected
sîn,Lumha,undirected
sîn,Geškad,undirected
sîn,Ninura,undirected
sîn,Išum,undirected
sîn,Mušdama,undirected
sîn,Qudma,undirected
sîn,Qudmaš,undirected
sîn,Kuksi,undirected
sîn,Dapan,undirected
sîn,Gugalita,undirected
sîn,Quqqim,undirected
sîn,Qaqqim,undirected
sîn,Nita,undirected
sîn,Alamuš,undirected
sîn,Alba,undirected
sîn,Alha,undirected
sîn,Baliha,undirected
sîn,Namma,undirected
sîn,Našše,undirected
sîn,Ušmu,undirected
sîn,Imšattu,undirected
sîn,Nissaba,undirected
sîn,Nanibgal,undirected
sîn,Hayyum,undirected
sîn,antum,undirected
sîn,Lahar,undirected
sîn,Šamkan,undirected
sîn,Ea,undirected
sîn,Marutuk,undirected
sîn,Ninlil,undirected
sîn,Ninurta,undirected
sîn,Ilaba,undirected
sîn,Giri,undirected
sîn,Gira,undirected
sîn,Ababa,undirected
sîn,Zababa,undirected
sîn,Ningublaga,undirected
sîn,Lisi,undirected
sîn,Sirsire,undirected
sîn,Marutu,undirected
sîn,Illa,undirected
sîn,Lamaštum,undirected
sîn,Halmu,undirected
sîn,Hallamu,undirected
sîn,Id,undirected
sîn,Ninzazna,undirected
sîn,Kabta,undirected
sîn,Šalaš,undirected
sîn,Ninti,undirected
kišša,Damu,undirected
kišša,Sugal,undirected
kišša,Usab,undirected
kišša,Eridu,undirected
kišša,larsam,undirected
kišša,sippara,undirected
kišša,Sirara,undirected
kišša,Hiš,undirected
kišša,Haš,undirected
kišša,maṣit,undirected
kišša,Idiglat,undirected
kišša,purattum,undirected
kišša,Nisaba,undirected
kišša,Muru,undirected
kišša,Ennigi,undirected
kišša,Karkara,undirected
kišša,Nippur,undirected
kišša,Ur,undirected
kišša,Uruk,undirected
kišša,Kullaba,undirected
kišša,Udnim,undirected
kišša,kusiga,undirected
kišša,Kisig,undirected
kišša,Aratta,undirected
kišša,šubartum,undirected
kišša,Enlil,undirected
kišša,Šamaš,undirected
kišša,Alla,undirected
kišša,Dunga,undirected
kišša,Lumha,undirected
kišša,Geškad,undirected
kišša,Ninura,undirected
kišša,Išum,undirected
kišša,Mušdama,undirected
kišša,Qudma,undirected
kišša,Qudmaš,undirected
kišša,Kuksi,undirected
kišša,Dapan,undirected
kišša,Gugalita,undirected
kišša,Quqqim,undirected
kišša,Qaqqim,undirected
kišša,Nita,undirected
kišša,Alamuš,undirected
kišša,Alba,undirected
kišša,Alha,undirected
kišša,Baliha,undirected
kišša,Namma,undirected
kišša,Našše,undirected
kišša,Ušmu,undirected
kišša,Imšattu,undirected
kišša,Nissaba,undirected
kišša,Nanibgal,undirected
kišša,Hayyum,undirected
kišša,antum,undirected
kišša,Lahar,undirected
kišša,Šamkan,undirected
kišša,Ea,undirected
kišša,Marutuk,undirected
kišša,Ninlil,undirected
kišša,Ninurta,undirected
kišša,Ilaba,undirected
kišša,Giri,undirected
kišša,Gira,undirected
kišša,Ababa,undirected
kišša,Zababa,undirected
kišša,Ningublaga,undirected
kišša,Lisi,undirected
kišša,Sirsire,undirected
kišša,Marutu,undirected
kišša,Illa,undirected
kišša,Lamaštum,undirected
kišša,Halmu,undirected
kišša,Hallamu,undirected
kišša,Id,undirected
kišša,Ninzazna,undirected
kišša,Kabta,undirected
kišša,Šalaš,undirected
kišša,Ninti,undirected
Damu,Sugal,undirected
Damu,Usab,undirected
Damu,Eridu,undirected
Damu,larsam,undirected
Damu,sippara,undirected
Damu,Sirara,undirected
Damu,Hiš,undirected
Damu,Haš,undirected
Damu,maṣit,undirected
Damu,Idiglat,undirected
Damu,purattum,undirected
Damu,Nisaba,undirected
Damu,Muru,undirected
Damu,Ennigi,undirected
Damu,Karkara,undirected
Damu,Nippur,undirected
Damu,Ur,undirected
Damu,Uruk,undirected
Damu,Kullaba,undirected
Damu,Udnim,undirected
Damu,kusiga,undirected
Damu,Kisig,undirected
Damu,Aratta,undirected
Damu,šubartum,undirected
Damu,Enlil,undirected
Damu,Šamaš,undirected
Damu,Alla,undirected
Damu,Dunga,undirected
Damu,Lumha,undirected
