,designation,period,provenience,museum_no
P295625,"YOS 14, 341",Old Babylonian,Uruk (mod. Warka),MLC 00837
P296047,"YOS 14, 338",Old Babylonian,Uruk (mod. Warka),MLC 01284 & MLC 01297
P296277,"YOS 14, 339",Old Babylonian,Uruk (mod. Warka),MLC 01588
P296278,"YOS 14, 342",Old Babylonian,Uruk (mod. Warka),MLC 01589
P296414,"YOS 14, 337",Old Babylonian,Uruk (mod. Warka),MLC 01741
P297038,"YOS 14, 340",Old Babylonian,Uruk (mod. Warka),MLC 02650
P311964,"YOS 14, 346",Old Babylonian,Uruk (mod. Warka),YBC 11995
P368396,CDLJ 2007/1 \xA73.45,Old Babylonian,Uruk (mod. Warka),KVM 32.1160
P368398,CDLJ 2007/1 \xA73.47,Old Babylonian,Uruk (mod. Warka),KVM 32.1186
P372766,"VS 13, 013",Old Babylonian,Uruk (mod. Warka),VAT 05589
P372788,"VS 13, 035",Old Babylonian,Uruk (mod. Warka),VAT 05139
P372789,"VS 13, 036",Old Babylonian,Uruk (mod. Warka),VAT 03964
P372790,"VS 13, 037",Old Babylonian,Uruk (mod. Warka),VAT 03955
P372791,"VS 13, 038",Old Babylonian,Uruk (mod. Warka),VAT 03953
P372792,"VS 13, 039",Old Babylonian,Uruk (mod. Warka),VAT 04349
P372793,"VS 13, 040",Old Babylonian,Uruk (mod. Warka),VAT 03883
P372794,"VS 13, 041",Old Babylonian,Uruk (mod. Warka),VAT 03854
P372795,"VS 13, 042",Old Babylonian,Uruk (mod. Warka),VAT 03872
P372796,"VS 13, 043",Old Babylonian,Uruk (mod. Warka),VAT 04317
P372797,"VS 13, 044",Old Babylonian,Uruk (mod. Warka),VAT 03954
P372798,"VS 13, 045",Old Babylonian,Uruk (mod. Warka),VAT 03939
P372799,"VS 13, 046",Old Babylonian,Uruk (mod. Warka),VAT 03931
P372800,"VS 13, 047",Old Babylonian,Uruk (mod. Warka),VAT 02958
P372801,"VS 13, 048",Old Babylonian,Uruk (mod. Warka),VAT 03928
P372802,"VS 13, 049",Old Babylonian,Uruk (mod. Warka),VAT 03965
P372803,"VS 13, 050",Old Babylonian,Uruk (mod. Warka),VAT 03886
P372804,"VS 13, 052",Old Babylonian,Uruk (mod. Warka),VAT 03855
P372805,"VS 13, 053",Old Babylonian,Uruk (mod. Warka),VAT 03863
P372806,"VS 13, 054",Old Babylonian,Uruk (mod. Warka),VAT 03875
P373740,"VS 13, 051",Old Babylonian,Uruk (mod. Warka),VAT 03877
P373741,"VS 13, 055",Old Babylonian,Uruk (mod. Warka),VAT 03878
P387783,RIAA 244,Old Babylonian,unclear,MRAH O.0150
P405120,"BagM 18, 187 32",Old Babylonian,Uruk (mod. Warka),uncertain
P405121,"BagM 18, 188 33",Old Babylonian,Uruk (mod. Warka),uncertain
P405122,"BagM 23, 143 179",Old Babylonian,Uruk (mod. Warka),uncertain
P405124,"BagM 23, 150 185",Old Babylonian,Uruk (mod. Warka),uncertain
P405125,"BagM 26, 079 210",Old Babylonian,Uruk (mod. Warka),uncertain
P405126,"BagM 27, 317 212",Old Babylonian,Uruk (mod. Warka),uncertain
P405127,"BagM 27, 372 213",Old Babylonian,Uruk (mod. Warka),uncertain
P405128,"BagM 27, 373 215",Old Babylonian,Uruk (mod. Warka),uncertain
P405129,"BagM 27, 373 216",Old Babylonian,Uruk (mod. Warka),uncertain
P405130,"BagM 27, 374 217",Old Babylonian,Uruk (mod. Warka),uncertain
P405131,"BagM 27, 374 218",Old Babylonian,Uruk (mod. Warka),uncertain
P405132,"BagM 27, 375 219",Old Babylonian,Uruk (mod. Warka),uncertain
P405133,"BagM 27, 376 223",Old Babylonian,Uruk (mod. Warka),uncertain
P405134,"BagM 27, 377 226",Old Babylonian,Uruk (mod. Warka),uncertain
P405135,"BagM 27, 377-378 227",Old Babylonian,Uruk (mod. Warka),uncertain
P405136,"BagM 27, 378 228",Old Babylonian,Uruk (mod. Warka),uncertain
P405137,"BagM 27, 379 229",Old Babylonian,Uruk (mod. Warka),uncertain
P405138,"BagM 27, 379-380 230",Old Babylonian,Uruk (mod. Warka),uncertain
P405139,"BagM 27, 380 231",Old Babylonian,Uruk (mod. Warka),uncertain
P405140,"BagM 27, 381 232",Old Babylonian,Uruk (mod. Warka),uncertain
P405141,"BagM 27, 381-382 233",Old Babylonian,Uruk (mod. Warka),uncertain
P405142,"BagM 27, 382 234",Old Babylonian,Uruk (mod. Warka),uncertain
P405143,"BagM 27, 383 235",Old Babylonian,Uruk (mod. Warka),uncertain
P405144,"BagM 27, 383 236",Old Babylonian,Uruk (mod. Warka),uncertain
P405145,"BagM 27, 384 237",Old Babylonian,Uruk (mod. Warka),uncertain
P405146,"BagM 27, 384 238",Old Babylonian,Uruk (mod. Warka),uncertain
P405147,"BagM 27, 385 239",Old Babylonian,Uruk (mod. Warka),uncertain
P405148,"BagM 27, 385 240",Old Babylonian,Uruk (mod. Warka),uncertain
P405149,"BagM 27, 386 241",Old Babylonian,Uruk (mod. Warka),uncertain
P405150,"BagM 27, 386-387 242",Old Babylonian,Uruk (mod. Warka),uncertain
